SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1175	9951792	3687946
9	1175	0	0
10	1175	0	0
0	1176	9951792	1684832
9	1176	0	0
10	1176	0	0
0	1177	9951792	3524760
9	1177	0	0
10	1177	0	0
0	1178	9951792	3691582
9	1178	0	0
10	1178	0	0
0	1179	9951792	3709069
9	1179	0	0
10	1179	0	0
0	1180	9951792	3714336
9	1180	0	0
10	1180	0	0
0	1181	9951792	3714201
9	1181	0	0
10	1181	0	0
0	1182	9951792	3721353
9	1182	0	0
10	1182	0	0
0	1183	9951792	3720211
9	1183	0	0
10	1183	0	0
0	1184	9951792	3742398
9	1184	0	0
10	1184	0	0
0	1185	9951792	3708687
9	1185	0	0
10	1185	0	0
0	1186	9951792	3717831
9	1186	0	0
10	1186	0	0
0	1187	9951792	3680638
9	1187	0	0
10	1187	0	0
0	1188	9951792	3651107
9	1188	0	0
10	1188	0	0
0	1189	9951792	3634601
9	1189	0	0
10	1189	0	0
0	1190	9951792	3642837
9	1190	0	0
10	1190	0	0
0	1191	9951792	3628501
9	1191	0	0
10	1191	0	0
0	1192	9951792	3637143
9	1192	0	0
10	1192	0	0
0	1193	9951792	3662842
9	1193	0	0
10	1193	0	0
0	1194	9951792	3649582
9	1194	0	0
10	1194	0	0
0	1195	9951792	3696794
9	1195	0	0
10	1195	0	0
0	1196	9951792	3682744
9	1196	0	0
10	1196	0	0
0	1197	9951792	3678478
9	1197	0	0
10	1197	0	0
0	1198	7969588	2629830
9	1198	950856	475428
10	1198	1031348	515674
0	1201	6351628	1548745
9	1201	1763152	881576
10	1201	1837012	918506
0	1202	6328950	1545645
9	1202	1772364	886182
10	1202	1850478	925239
0	1203	6307596	1551459
9	1203	1781750	890875
10	1203	1862446	931223
0	1204	6287138	1571725
9	1204	1790362	895181
10	1204	1874292	937146
0	1205	4435478	639247
9	1205	2698490	1349245
10	1205	2817824	1408912
0	1206	4465676	645128
9	1206	2681316	1340658
10	1206	2804800	1402400
0	1207	4477650	651285
9	1207	2670326	1335163
10	1207	2803816	1401908
0	1208	4485488	659461
9	1208	2661678	1330839
10	1208	2804626	1402313
0	1209	4455940	654485
9	1209	2672940	1336470
10	1209	2822912	1411456
0	1210	4440438	654655
9	1210	2673878	1336939
10	1210	2837476	1418738
0	1211	6266276	1560888
9	1211	1791572	895786
10	1211	1893944	946972
0	1212	4438904	653507
9	1212	2674312	1337156
10	1212	2838576	1419288
0	1213	4428532	649363
9	1213	2673608	1336804
10	1213	2849652	1424826
0	1214	4482082	667677
9	1214	2646350	1323175
10	1214	2823360	1411680
0	1215	4476242	669611
9	1215	2640108	1320054
10	1215	2835442	1417721
0	1216	4462472	659427
9	1216	2648724	1324362
10	1216	2840596	1420298
0	1217	4462438	653174
9	1217	2648234	1324117
10	1217	2841120	1420560
0	1218	4490058	659610
9	1218	2631496	1315748
10	1218	2830238	1415119
0	1219	6305204	1561585
9	1219	1756212	878106
10	1219	1890376	945188
0	1220	6296866	1569287
9	1220	1760662	880331
10	1220	1894264	947132
0	1221	8133608	2480877
9	1221	877128	438564
10	1221	941056	470528
